id:int	labels:label	type	flags:string_array	lineno:int	code	childnum:int	funcid:int	classname	namespace	endlineno:int	name	doccomment
1101	AST	AST_VAR		34		0	1010	base	""			
1102	AST	string		34	"loaded_classes"	0	1010	base	""			
1103	AST	AST_VAR		34		1	1010	base	""			
1104	AST	string		34	"key"	0	1010	base	""			
1105	AST	AST_CONST		34		1	1010	base	""			
1106	AST	AST_NAME	NAME_NOT_FQ	34		0	1010	base	""			
1107	AST	string		34	"true"	0	1010	base	""			
1108	AST	AST_RETURN		36		3	1010	base	""			
1109	AST	AST_DIM		36		0	1010	base	""			
1110	AST	AST_VAR		36		0	1010	base	""			
1111	AST	string		36	"loaded_classes"	0	1010	base	""			
1112	AST	AST_VAR		36		1	1010	base	""			
1113	AST	string		36	"key"	0	1010	base	""			
1114	AST	AST_IF_ELEM		39		1	1010	base	""			
1115	AST	NULL		39		0	1010	base	""			
1116	AST	AST_STMT_LIST		39		1	1010	base	""			
1117	AST	AST_RETURN		40		0	1010	base	""			
1118	AST	AST_CONST		40		0	1010	base	""			
1119	AST	AST_NAME	NAME_NOT_FQ	40		0	1010	base	""			
1120	AST	string		40	"false"	0	1010	base	""			
1121	AST	NULL		14		3	1010	base	""			
1122	AST	AST_METHOD	MODIFIER_PUBLIC	48		4	958	base	""	63	model	"/**\n     * 这里是第一版的model层，构思根据table从具体表的model加载baseModel\n     * @param $model\n     */"
1123	Artificial	CFG_FUNC_ENTRY					1122	base	""		"model"	
1124	Artificial	CFG_FUNC_EXIT					1122	base	""		"model"	
1125	AST	AST_PARAM_LIST		48		0	1122	base	""			
1126	AST	AST_PARAM		48		0	1122	base	""			
1127	AST	NULL		48		0	1122	base	""			
1128	AST	string		48	"model"	1	1122	base	""			
1129	AST	NULL		48		2	1122	base	""			
1130	AST	NULL		48		1	1122	base	""			
1131	AST	AST_STMT_LIST		49		2	1122	base	""			
1132	AST	AST_ASSIGN		50		0	1122	base	""			
1133	AST	AST_VAR		50		0	1122	base	""			
1134	AST	string		50	"class_path"	0	1122	base	""			
1135	AST	AST_BINARY_OP	BINARY_CONCAT	50		1	1122	base	""			
1136	AST	AST_BINARY_OP	BINARY_CONCAT	50		0	1122	base	""			
1137	AST	AST_CONST		50		0	1122	base	""			
1138	AST	AST_NAME	NAME_NOT_FQ	50		0	1122	base	""			
1139	AST	string		50	"USER_MODEL_DIR"	0	1122	base	""			
1140	AST	AST_VAR		50		1	1122	base	""			
1141	AST	string		50	"model"	0	1122	base	""			
1142	AST	string		50	".model.class.php"	1	1122	base	""			
1143	AST	AST_CALL		51		1	1122	base	""			
1144	AST	AST_NAME	NAME_NOT_FQ	51		0	1122	base	""			
1145	AST	string		51	"var_dump"	0	1122	base	""			
1146	AST	AST_ARG_LIST		51		1	1122	base	""			
1147	AST	AST_VAR		51		0	1122	base	""			
1148	AST	string		51	"class_path"	0	1122	base	""			
1149	AST	AST_IF		52		2	1122	base	""			
1150	AST	AST_IF_ELEM		52		0	1122	base	""			
1151	AST	AST_CALL		52		0	1122	base	""			
1152	AST	AST_NAME	NAME_NOT_FQ	52		0	1122	base	""			
1153	AST	string		52	"is_file"	0	1122	base	""			
1154	AST	AST_ARG_LIST		52		1	1122	base	""			
1155	AST	AST_VAR		52		0	1122	base	""			
1156	AST	string		52	"class_path"	0	1122	base	""			
1157	AST	AST_STMT_LIST		52		1	1122	base	""			
1158	AST	AST_INCLUDE_OR_EVAL	EXEC_INCLUDE	53		0	1122	base	""			
1159	AST	AST_VAR		53		0	1122	base	""			
1160	AST	string		53	"class_path"	0	1122	base	""			
1161	AST	AST_ASSIGN		54		1	1122	base	""			
1162	AST	AST_VAR		54		0	1122	base	""			
1163	AST	string		54	"class_name"	0	1122	base	""			
1164	AST	AST_BINARY_OP	BINARY_CONCAT	54		1	1122	base	""			
1165	AST	AST_VAR		54		0	1122	base	""			
1166	AST	string		54	"model"	0	1122	base	""			
1167	AST	string		54	"Model"	1	1122	base	""			
1168	AST	AST_ASSIGN		55		2	1122	base	""			
1169	AST	AST_VAR		55		0	1122	base	""			
1170	AST	string		55	"load_model"	0	1122	base	""			
1171	AST	AST_NEW		55		1	1122	base	""			
1172	AST	AST_VAR		55		0	1122	base	""			
1173	AST	string		55	"class_name"	0	1122	base	""			
1174	AST	AST_ARG_LIST		55		1	1122	base	""			
1175	AST	AST_RETURN		56		3	1122	base	""			
1176	AST	AST_VAR		56		0	1122	base	""			
1177	AST	string		56	"load_model"	0	1122	base	""			
1178	AST	AST_IF_ELEM		59		1	1122	base	""			
1179	AST	NULL		59		0	1122	base	""			
1180	AST	AST_STMT_LIST		59		1	1122	base	""			
1181	AST	AST_RETURN		60		0	1122	base	""			
1182	AST	AST_CONST		60		0	1122	base	""			
1183	AST	AST_NAME	NAME_NOT_FQ	60		0	1122	base	""			
1184	AST	string		60	"null"	0	1122	base	""			
1185	AST	NULL		48		3	1122	base	""			
1186	AST	AST_METHOD	MODIFIER_PUBLIC,MODIFIER_STATIC	71		5	958	base	""	81	get	"/**\n     * 如果要实现全局过滤， 那么在这儿实现了。\n     * 注： 全局过滤其实不是一种健壮的开发模式， 因为一旦全局过滤用户的输入就被系统污染了。 可以通过伪全局或者局部过滤\n     * @param $string\n     * @return string|null\n     */"
1187	Artificial	CFG_FUNC_ENTRY					1186	base	""		"get"	
1188	Artificial	CFG_FUNC_EXIT					1186	base	""		"get"	
1189	AST	AST_PARAM_LIST		71		0	1186	base	""			
1190	AST	AST_PARAM		71		0	1186	base	""			
